date,gross sales,output vat,net sales
03/21/2022,84463,10698,67165
03/22/2022,160670,20941,130882
03/23/2022,117755,15898,99364
03/24/2022,81835,11152,69702
03/25/2022,188560,25250,158211
03/26/2022,232320,30926,193643
03/28/2022,81820,10931,68769
03/29/2022,98290,13151,82193
03/30/2022,79740,10774,67336
03/31/2022,265890,35221,220686
04/02/2022,114720,15333,96189
04/03/2022,62561,8331,52199
04/04/2022,61050,8225,51406
04/05/2022,82860,10954,68661
04/06/2022,99144,13327,83291
04/07/2022,113407,15013,93943
04/08/2022,124880,16618,104262
04/09/2022,198575,26299,164664
04/10/2022,79400,10637,66484
04/11/2022,98530,13173,82402
04/12/2022,108010,14643,91516
04/13/2022,205077,27221,170575
04/15/2022,391215,51149,322018
04/18/2022,63005,8474,52961
04/19/2022,119160,15581,97384
04/20/2022,36840,5013,31328
04/21/2022,384105,50963,318577
04/24/2022,292740,38581,241458
04/27/2022,136950,18296,114351
04/28/2022,88500,11917,74484
04/29/2022,144970,19383,121437
04/30/2022,169248,22777,142368
05/01/2022,45090,5963,37329
05/02/2022,92530,12367,78301
05/03/2022,63230,8504,53148
05/04/2022,68520,9276,58124
05/05/2022,70035,9278,58207
05/06/2022,130480,17391,108693
05/07/2022,196491,25893,162622
05/09/2022,75480,10128,63299
05/10/2022,67605,9098,56863
05/12/2022,125500,16521,103259
05/13/2022,86280,11223,70245
05/14/2022,117380,15469,96917
05/15/2022,62351,8288,51800
05/16/2022,73610,9822,61387
05/19/2022,136150,18084,113115
05/20/2022,80150,10735,67093
05/21/2022,161560,21547,134670
05/22/2022,110395,14602,91332
05/24/2022,58710,7899,49366
05/25/2022,50380,6587,41271
05/26/2022,100980,13252,83039
05/27/2022,74195,9875,61918
05/28/2022,202680,26499,165825
05/29/2022,55620,7317,46063
05/30/2022,64040,8510,53367
05/31/2022,55925,7365,46279
06/01/2022,96317,12412,77929
06/02/2022,92710,12300,77260
06/03/2022,69375,9277,57989
06/04/2022,94880,12824,80260
06/05/2022,78040,10378,64915
06/06/2022,75225,9778,61154
06/07/2022,62480,8238,51890
06/08/2022,114985,15079,94245
06/09/2022,56060,7029,43929
06/10/2022,166280,22299,139795
06/11/2022,219490,29056,183129
06/12/2022,58935,7745,48609
06/13/2022,89070,11966,74789
06/14/2022,87460,11507,72230
06/15/2022,67390,8915,55737
06/16/2022,92815,12435,77718
06/17/2022,96250,12828,80393
06/18/2022,186150,24388,153128
06/20/2022,120230,16230,101749
06/21/2022,46770,6254,39087
06/22/2022,286549,37825,236655
06/23/2022,50950,6854,42889
06/24/2022,84935,11185,70886
06/25/2022,151930,20278,126973
06/26/2022,78680,10307,64670
06/27/2022,95670,12705,79403
06/28/2022,79150,10232,64151
06/29/2022,93390,12373,77377
06/30/2022,125365,16244,102385
07/01/2022,181700,23939,150178
07/02/2022,193150,25431,160440
07/03/2022,133260,17776,111449
07/04/2022,62480,8349,52261
07/05/2022,64025,8319,52005
07/06/2022,95430,12527,78702
07/07/2022,189451,25128,157360
07/08/2022,135430,18099,113548
07/09/2022,178515,23758,148988
07/10/2022,74300,9868,62383
07/11/2022,145835,19347,121158
07/12/2022,35150,4674,29209
07/13/2022,61510,8203,51286
07/14/2022,50901,6759,42800
